index,query,answer,subgraph_nodes,query_fig_name,answer_fig_name,main_relation,query_type,query_text,query_html,explanation_text,explanation_html
47,"(p,(Reason),(p,(Reason),(e,(PersonX be avoid the issue))))",PersonY do not want to upset PersonX,"['PersonX be avoid the issue', 'PersonX do not want to upset', 'PersonY do not want to upset PersonX']",20220420-174733-batch-0-q-47.jpg,20220420-174733-batch-0-a-47.jpg,Reason,2p,PersonX be avoid the issue happens because the event V0. the event V0 happens because the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX be avoid the issue</span> happens because <span style=""color:red;"">the event V0</span>. <span style=""color:red;"">the event V0</span> happens because <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX do not want to upset happens because PersonY do not want to upset PersonX. PersonX be avoid the issue happens because PersonX do not want to upset. PersonX be avoid the issue happens because PersonY do not want to upset PersonX.,"<span style=""color:red;"">PersonX do not want to upset</span> happens because <span style=""color:red;"">PersonY do not want to upset PersonX</span>. <span style=""color:red;"">PersonX be avoid the issue</span> happens because <span style=""color:red;"">PersonX do not want to upset</span>. <span style=""color:red;"">PersonX be avoid the issue</span> happens because <span style=""color:red;"">PersonY do not want to upset PersonX</span>."
48,"(p,(Reason),(p,(Reason),(e,(PersonX be avoid the issue))))",PersonX be in a fragile state,"['PersonX be avoid the issue', 'PersonY do not want to upset PersonX', 'PersonX be in a fragile state']",20220420-174733-batch-0-q-48.jpg,20220420-174733-batch-0-a-48.jpg,Reason,2p,PersonX be avoid the issue happens because the event V0. the event V0 happens because the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX be avoid the issue</span> happens because <span style=""color:red;"">the event V0</span>. <span style=""color:red;"">the event V0</span> happens because <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX be avoid the issue happens because PersonY do not want to upset PersonX. PersonY do not want to upset PersonX happens because PersonX be in a fragile state.,"<span style=""color:red;"">PersonX be avoid the issue</span> happens because <span style=""color:red;"">PersonY do not want to upset PersonX</span>. <span style=""color:red;"">PersonY do not want to upset PersonX</span> happens because <span style=""color:red;"">PersonX be in a fragile state</span>."
49,"(i,(p,(Contrast),(e,(now PersonY will never shake PersonX by hand))),(p,(Contrast),(e,(now PersonY will never see PersonX))))",now PersonY will never hear PersonX,"['now PersonY will never shake PersonX by hand', 'now PersonY will never see PersonX', 'now PersonY will never hear PersonX']",20220420-174733-batch-0-q-49.jpg,20220420-174733-batch-0-a-49.jpg,Contrast,2i,now PersonY will never shake PersonX by hand and the event V? share significant difference regarding some property. now PersonY will never see PersonX and the event V? share significant difference regarding some property. What is the event V? ?,"<span style=""color:red;"">now PersonY will never shake PersonX by hand</span> and <span style=""color:red;"">the event V?</span> share significant difference regarding some property. <span style=""color:red;"">now PersonY will never see PersonX</span> and <span style=""color:red;"">the event V?</span> share significant difference regarding some property. What is the event V? ?",now PersonY will never see PersonX is an alternative situation to now PersonY will never shake PersonX by hand. now PersonY will never see PersonX and now PersonY will never hear PersonX share significant difference regarding some property. now PersonY will never shake PersonX by hand and now PersonY will never hear PersonX share significant difference regarding some property.,"<span style=""color:red;"">now PersonY will never see PersonX</span> is an alternative situation to <span style=""color:red;"">now PersonY will never shake PersonX by hand</span>. <span style=""color:red;"">now PersonY will never see PersonX</span> and <span style=""color:red;"">now PersonY will never hear PersonX</span> share significant difference regarding some property. <span style=""color:red;"">now PersonY will never shake PersonX by hand</span> and <span style=""color:red;"">now PersonY will never hear PersonX</span> share significant difference regarding some property."
50,"(i,(p,(Conjunction),(e,(the warmest month be april))),(p,(Conjunction),(e,(the warmest month be september))))",the coldest be december,"['the coldest be december', 'the warmest month be september', 'the warmest month be april']",20220420-174733-batch-0-q-50.jpg,20220420-174733-batch-0-a-50.jpg,Conjunction,2i,the warmest month be april and the event V? both happen. the warmest month be september and the event V? both happen. What is the event V? ?,"<span style=""color:red;"">the warmest month be april</span> and <span style=""color:red;"">the event V?</span> both happen. <span style=""color:red;"">the warmest month be september</span> and <span style=""color:red;"">the event V?</span> both happen. What is the event V? ?",the warmest month be september and the coldest be december both happen. the warmest month be april and the coldest be december both happen.,"<span style=""color:red;"">the warmest month be september</span> and <span style=""color:red;"">the coldest be december</span> both happen. <span style=""color:red;"">the warmest month be april</span> and <span style=""color:red;"">the coldest be december</span> both happen."
51,"(i,(p,(Conjunction),(e,(the warmest month be april))),(p,(Conjunction),(e,(the warmest month be september))))",the coldest be july,"['the warmest month be september', 'the coldest be july', 'the warmest month be april']",20220420-174733-batch-0-q-51.jpg,20220420-174733-batch-0-a-51.jpg,Conjunction,2i,the warmest month be april and the event V? both happen. the warmest month be september and the event V? both happen. What is the event V? ?,"<span style=""color:red;"">the warmest month be april</span> and <span style=""color:red;"">the event V?</span> both happen. <span style=""color:red;"">the warmest month be september</span> and <span style=""color:red;"">the event V?</span> both happen. What is the event V? ?",the warmest month be september and the coldest be july both happen. the warmest month be april and the coldest be july both happen.,"<span style=""color:red;"">the warmest month be september</span> and <span style=""color:red;"">the coldest be july</span> both happen. <span style=""color:red;"">the warmest month be april</span> and <span style=""color:red;"">the coldest be july</span> both happen."
52,"(i,(p,(Conjunction),(e,(the warmest month be april))),(p,(Conjunction),(e,(the warmest month be september))))",the coldest be june,"['the coldest be june', 'the warmest month be september', 'the warmest month be april']",20220420-174733-batch-0-q-52.jpg,20220420-174733-batch-0-a-52.jpg,Conjunction,2i,the warmest month be april and the event V? both happen. the warmest month be september and the event V? both happen. What is the event V? ?,"<span style=""color:red;"">the warmest month be april</span> and <span style=""color:red;"">the event V?</span> both happen. <span style=""color:red;"">the warmest month be september</span> and <span style=""color:red;"">the event V?</span> both happen. What is the event V? ?",the warmest month be april and the coldest be june both happen. the warmest month be september and the coldest be june both happen.,"<span style=""color:red;"">the warmest month be april</span> and <span style=""color:red;"">the coldest be june</span> both happen. <span style=""color:red;"">the warmest month be september</span> and <span style=""color:red;"">the coldest be june</span> both happen."
53,"(i,(p,(Condition),(e,(PersonY could not be more proud of PersonX))),(p,(Concession),(e,(PersonY choose to be PersonY son-in-law))))",PersonX be PersonY own son,"['PersonX be PersonY own son', 'PersonY could not be more proud of PersonX', 'PersonY choose to be PersonY son-in-law']",20220420-174733-batch-0-q-53.jpg,20220420-174733-batch-0-a-53.jpg,Concession,2i,"When the event V? happens, PersonY could not be more proud of PersonX can happen. the event V? happens although PersonY choose to be PersonY son-in-law. What is the event V? ?","When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonY could not be more proud of PersonX</span> can happen. <span style=""color:red;"">the event V?</span> happens although <span style=""color:red;"">PersonY choose to be PersonY son-in-law</span>. What is the event V? ?","When PersonX be PersonY own son happens, PersonY could not be more proud of PersonX can happen. PersonX be PersonY own son happens although PersonY choose to be PersonY son-in-law.","When <span style=""color:red;"">PersonX be PersonY own son</span> happens, <span style=""color:red;"">PersonY could not be more proud of PersonX</span> can happen. <span style=""color:red;"">PersonX be PersonY own son</span> happens although <span style=""color:red;"">PersonY choose to be PersonY son-in-law</span>."
54,"(i,(p,(Alternative),(e,(now PersonX show up on tomorrow))),(p,(Condition),(e,(PersonY could give PersonZ one))))",PersonX do not show up at all,"['PersonY could give PersonZ one', 'PersonX do not show up at all', 'now PersonX show up on tomorrow']",20220420-174733-batch-0-q-54.jpg,20220420-174733-batch-0-a-54.jpg,Alternative,2i,"now PersonX show up on tomorrow is an alternative situation to the event V?. When the event V? happens, PersonY could give PersonZ one can happen. What is the event V? ?","<span style=""color:red;"">now PersonX show up on tomorrow</span> is an alternative situation to <span style=""color:red;"">the event V?</span>. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonY could give PersonZ one</span> can happen. What is the event V? ?","now PersonX show up on tomorrow is an alternative situation to PersonX do not show up at all. When PersonX do not show up at all happens, PersonY could give PersonZ one can happen.","<span style=""color:red;"">now PersonX show up on tomorrow</span> is an alternative situation to <span style=""color:red;"">PersonX do not show up at all</span>. When <span style=""color:red;"">PersonX do not show up at all</span> happens, <span style=""color:red;"">PersonY could give PersonZ one</span> can happen."
55,"(i,(p,(Concession),(e,(PersonX get app))),(p,(Result),(e,(PeopleX do not have kid))))",PersonX do not really pay much attention to it,"['PersonX get app', 'PeopleX do not have kid', 'PersonX do not really pay much attention to it']",20220420-174733-batch-0-q-55.jpg,20220420-174733-batch-0-a-55.jpg,Concession,2i,the event V? happens although PersonX get app. PeopleX do not have kid result in the event V?. What is the event V? ?,"<span style=""color:red;"">the event V?</span> happens although <span style=""color:red;"">PersonX get app</span>. <span style=""color:red;"">PeopleX do not have kid</span> result in <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX do not really pay much attention to it happens although PersonX get app. PeopleX do not have kid result in PersonX do not really pay much attention to it.,"<span style=""color:red;"">PersonX do not really pay much attention to it</span> happens although <span style=""color:red;"">PersonX get app</span>. <span style=""color:red;"">PeopleX do not have kid</span> result in <span style=""color:red;"">PersonX do not really pay much attention to it</span>."
56,"(i,(p,(Precedence),(e,(it will probably be some time))),(p,(Precedence),(e,(it be just for a little while))))",thing calm down,"['it will probably be some time', 'thing calm down', 'it be just for a little while']",20220420-174733-batch-0-q-56.jpg,20220420-174733-batch-0-a-56.jpg,Precedence,2i,it will probably be some time happens before the event V?. it be just for a little while happens before the event V?. What is the event V? ?,"<span style=""color:red;"">it will probably be some time</span> happens before <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">it be just for a little while</span> happens before <span style=""color:red;"">the event V?</span>. What is the event V? ?",it will probably be some time happens before thing calm down. it be just for a little while happens before thing calm down.,"<span style=""color:red;"">it will probably be some time</span> happens before <span style=""color:red;"">thing calm down</span>. <span style=""color:red;"">it be just for a little while</span> happens before <span style=""color:red;"">thing calm down</span>."
57,"(i,(p,(Precedence),(e,(PersonX have to touch PersonY on arm))),(p,(Precedence),(e,(must PersonX touch PersonY on arm))))",PersonY ask PersonX on date,"['PersonX have to touch PersonY on arm', 'PersonY ask PersonX on date', 'must PersonX touch PersonY on arm']",20220420-174733-batch-0-q-57.jpg,20220420-174733-batch-0-a-57.jpg,Precedence,2i,PersonX have to touch PersonY on arm happens before the event V?. must PersonX touch PersonY on arm happens before the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX have to touch PersonY on arm</span> happens before <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">must PersonX touch PersonY on arm</span> happens before <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX have to touch PersonY on arm happens before PersonY ask PersonX on date. must PersonX touch PersonY on arm happens before PersonY ask PersonX on date.,"<span style=""color:red;"">PersonX have to touch PersonY on arm</span> happens before <span style=""color:red;"">PersonY ask PersonX on date</span>. <span style=""color:red;"">must PersonX touch PersonY on arm</span> happens before <span style=""color:red;"">PersonY ask PersonX on date</span>."
58,"(i,(p,(Condition),(e,(PersonY do not need to change PersonX mind))),(p,(Alternative),(e,(PersonX do not have any land in hand))))",PersonX do not like the card,"['PersonX do not have any land in hand', 'PersonY do not need to change PersonX mind', 'PersonX do not like the card']",20220420-174733-batch-0-q-58.jpg,20220420-174733-batch-0-a-58.jpg,Alternative,2i,"When the event V? happens, PersonY do not need to change PersonX mind can happen. PersonX do not have any land in hand is an alternative situation to the event V?. What is the event V? ?","When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonY do not need to change PersonX mind</span> can happen. <span style=""color:red;"">PersonX do not have any land in hand</span> is an alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?","When PersonX do not like the card happens, PersonY do not need to change PersonX mind can happen. PersonX do not have any land in hand is an alternative situation to PersonX do not like the card.","When <span style=""color:red;"">PersonX do not like the card</span> happens, <span style=""color:red;"">PersonY do not need to change PersonX mind</span> can happen. <span style=""color:red;"">PersonX do not have any land in hand</span> is an alternative situation to <span style=""color:red;"">PersonX do not like the card</span>."
59,"(i,(p,(Alternative),(e,(PersonY do not have to force PersonX))),(p,(Result),(e,(PersonX be better at everything))))",PersonY do not have to do anything,"['PersonY do not have to force PersonX', 'PersonX be better at everything', 'PersonY do not have to do anything']",20220420-174733-batch-0-q-59.jpg,20220420-174733-batch-0-a-59.jpg,Alternative,2i,PersonY do not have to force PersonX is an alternative situation to the event V?. PersonX be better at everything result in the event V?. What is the event V? ?,"<span style=""color:red;"">PersonY do not have to force PersonX</span> is an alternative situation to <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">PersonX be better at everything</span> result in <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX be better at everything result in PersonY do not have to do anything. PersonY do not have to force PersonX is an alternative situation to PersonY do not have to do anything.,"<span style=""color:red;"">PersonX be better at everything</span> result in <span style=""color:red;"">PersonY do not have to do anything</span>. <span style=""color:red;"">PersonY do not have to force PersonX</span> is an alternative situation to <span style=""color:red;"">PersonY do not have to do anything</span>."
60,"(i,(p,(Contrast),(e,(PersonY want to be a stay-at-home mom))),(p,(Condition),(e,(PersonY just would not buy it))))",PersonY could not afford it,"['PersonY just would not buy it', 'PersonY could not afford it', 'PersonY want to be a stay-at-home mom']",20220420-174733-batch-0-q-60.jpg,20220420-174733-batch-0-a-60.jpg,Contrast,2i,"PersonY want to be a stay-at-home mom and the event V? share significant difference regarding some property. When the event V? happens, PersonY just would not buy it can happen. What is the event V? ?","<span style=""color:red;"">PersonY want to be a stay-at-home mom</span> and <span style=""color:red;"">the event V?</span> share significant difference regarding some property. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonY just would not buy it</span> can happen. What is the event V? ?","PersonY want to be a stay-at-home mom and PersonY could not afford it share significant difference regarding some property. When PersonY could not afford it happens, PersonY just would not buy it can happen.","<span style=""color:red;"">PersonY want to be a stay-at-home mom</span> and <span style=""color:red;"">PersonY could not afford it</span> share significant difference regarding some property. When <span style=""color:red;"">PersonY could not afford it</span> happens, <span style=""color:red;"">PersonY just would not buy it</span> can happen."
61,"(i,(p,(ChosenAlternative),(e,(PeopleX would launch PersonY site))),(p,(Condition),(e,(PeopleX would get))))",it never see the light of day,"['PeopleX would get', 'it never see the light of day', 'PeopleX would launch PersonY site']",20220420-174733-batch-0-q-61.jpg,20220420-174733-batch-0-a-61.jpg,ChosenAlternative,2i,"PeopleX would launch PersonY site is a preferred alternative situation to the event V?. When the event V? happens, PeopleX would get can happen. What is the event V? ?","<span style=""color:red;"">PeopleX would launch PersonY site</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PeopleX would get</span> can happen. What is the event V? ?","When it never see the light of day happens, PeopleX would get can happen. PeopleX would launch PersonY site is a preferred alternative situation to it never see the light of day.","When <span style=""color:red;"">it never see the light of day</span> happens, <span style=""color:red;"">PeopleX would get</span> can happen. <span style=""color:red;"">PeopleX would launch PersonY site</span> is a preferred alternative situation to <span style=""color:red;"">it never see the light of day</span>."
62,"(i,(p,(Reason),(e,(PersonY do not have to write down))),(p,(Succession),(e,(the unmoved mover would have to be a concious mind))))",it be immaterial,"['it be immaterial', 'PersonY do not have to write down', 'the unmoved mover would have to be a concious mind']",20220420-174733-batch-0-q-62.jpg,20220420-174733-batch-0-a-62.jpg,Succession,2i,PersonY do not have to write down happens because the event V?. the unmoved mover would have to be a concious mind happens after the event V?. What is the event V? ?,"<span style=""color:red;"">PersonY do not have to write down</span> happens because <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">the unmoved mover would have to be a concious mind</span> happens after <span style=""color:red;"">the event V?</span>. What is the event V? ?",the unmoved mover would have to be a concious mind happens after it be immaterial. PersonY do not have to write down happens because it be immaterial.,"<span style=""color:red;"">the unmoved mover would have to be a concious mind</span> happens after <span style=""color:red;"">it be immaterial</span>. <span style=""color:red;"">PersonY do not have to write down</span> happens because <span style=""color:red;"">it be immaterial</span>."
63,"(i,(p,(ChosenAlternative),(e,(PersonX want to walk out))),(p,(Result),(e,(PersonX be not feel very good))))",PersonX decide to take a nap,"['PersonX be not feel very good', 'PersonX decide to take a nap', 'PersonX want to walk out']",20220420-174733-batch-0-q-63.jpg,20220420-174733-batch-0-a-63.jpg,ChosenAlternative,2i,PersonX want to walk out is a preferred alternative situation to the event V?. PersonX be not feel very good result in the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX want to walk out</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">PersonX be not feel very good</span> result in <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX be not feel very good result in PersonX decide to take a nap. PersonX want to walk out and PersonX decide to take a nap share significant difference regarding some property. PersonX want to walk out is a preferred alternative situation to PersonX decide to take a nap.,"<span style=""color:red;"">PersonX be not feel very good</span> result in <span style=""color:red;"">PersonX decide to take a nap</span>. <span style=""color:red;"">PersonX want to walk out</span> and <span style=""color:red;"">PersonX decide to take a nap</span> share significant difference regarding some property. <span style=""color:red;"">PersonX want to walk out</span> is a preferred alternative situation to <span style=""color:red;"">PersonX decide to take a nap</span>."
64,"(i,(p,(ChosenAlternative),(e,(PersonY be trap in mindset))),(p,(Condition),(e,(PersonY be the type of person))))",PersonY would be much better,"['PersonY be trap in mindset', 'PersonY would be much better', 'PersonY be the type of person']",20220420-174733-batch-0-q-64.jpg,20220420-174733-batch-0-a-64.jpg,ChosenAlternative,2i,"PersonY be trap in mindset is a preferred alternative situation to the event V?. When the event V? happens, PersonY be the type of person can happen. What is the event V? ?","<span style=""color:red;"">PersonY be trap in mindset</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonY be the type of person</span> can happen. What is the event V? ?","When PersonY would be much better happens, PersonY be the type of person can happen. PersonY be trap in mindset is a preferred alternative situation to PersonY would be much better.","When <span style=""color:red;"">PersonY would be much better</span> happens, <span style=""color:red;"">PersonY be the type of person</span> can happen. <span style=""color:red;"">PersonY be trap in mindset</span> is a preferred alternative situation to <span style=""color:red;"">PersonY would be much better</span>."
65,"(i,(p,(Reason),(e,(PersonY don t own PersonX))),(p,(Reason),(e,(people do not get to be mad at PersonY))))",PersonY have sex with PeopleX,"['PersonY don t own PersonX', 'people do not get to be mad at PersonY', 'PersonY have sex with PeopleX']",20220420-174733-batch-0-q-65.jpg,20220420-174733-batch-0-a-65.jpg,Reason,2i,PersonY don t own PersonX happens because the event V?. people do not get to be mad at PersonY happens because the event V?. What is the event V? ?,"<span style=""color:red;"">PersonY don t own PersonX</span> happens because <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">people do not get to be mad at PersonY</span> happens because <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonY don t own PersonX happens because PersonY have sex with PeopleX. people do not get to be mad at PersonY happens because PersonY have sex with PeopleX.,"<span style=""color:red;"">PersonY don t own PersonX</span> happens because <span style=""color:red;"">PersonY have sex with PeopleX</span>. <span style=""color:red;"">people do not get to be mad at PersonY</span> happens because <span style=""color:red;"">PersonY have sex with PeopleX</span>."
66,"(i,(p,(Condition),(e,(PersonX would like to do the same thing for PersonY))),(p,(Condition),(e,(PersonX would be a brother to PersonY))),(p,(Condition),(e,(PersonX would like to love PersonY))))",PersonY would let PersonX,"['PersonX would be a brother to PersonY', 'PersonY would let PersonX', 'PersonX would like to do the same thing for PersonY', 'PersonX would like to love PersonY']",20220420-174733-batch-0-q-66.jpg,20220420-174733-batch-0-a-66.jpg,Condition,3i,"When the event V? happens, PersonX would like to do the same thing for PersonY can happen. When the event V? happens, PersonX would be a brother to PersonY can happen. When the event V? happens, PersonX would like to love PersonY can happen. What is the event V? ?","When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonX would like to do the same thing for PersonY</span> can happen. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonX would be a brother to PersonY</span> can happen. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonX would like to love PersonY</span> can happen. What is the event V? ?","When PersonY would let PersonX happens, PersonX would be a brother to PersonY can happen. When PersonY would let PersonX happens, PersonX would like to do the same thing for PersonY can happen. When PersonY would let PersonX happens, PersonX would like to love PersonY can happen.","When <span style=""color:red;"">PersonY would let PersonX</span> happens, <span style=""color:red;"">PersonX would be a brother to PersonY</span> can happen. When <span style=""color:red;"">PersonY would let PersonX</span> happens, <span style=""color:red;"">PersonX would like to do the same thing for PersonY</span> can happen. When <span style=""color:red;"">PersonY would let PersonX</span> happens, <span style=""color:red;"">PersonX would like to love PersonY</span> can happen."
67,"(i,(p,(Precedence),(e,(it be a placeholder))),(p,(Precedence),(e,(ta tell one))),(p,(ChosenAlternative),(e,(PersonY deliver))))",PersonX come up with something better,"['ta tell one', 'PersonX come up with something better', 'it be a placeholder', 'PersonY deliver']",20220420-174733-batch-0-q-67.jpg,20220420-174733-batch-0-a-67.jpg,ChosenAlternative,3i,it be a placeholder happens before the event V?. ta tell one happens before the event V?. PersonY deliver is a preferred alternative situation to the event V?. What is the event V? ?,"<span style=""color:red;"">it be a placeholder</span> happens before <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">ta tell one</span> happens before <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">PersonY deliver</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?",it be a placeholder happens before PersonX come up with something better. PersonY deliver is a preferred alternative situation to PersonX come up with something better. ta tell one happens before PersonX come up with something better.,"<span style=""color:red;"">it be a placeholder</span> happens before <span style=""color:red;"">PersonX come up with something better</span>. <span style=""color:red;"">PersonY deliver</span> is a preferred alternative situation to <span style=""color:red;"">PersonX come up with something better</span>. <span style=""color:red;"">ta tell one</span> happens before <span style=""color:red;"">PersonX come up with something better</span>."
68,"(i,(p,(Conjunction),(e,(honestly it be not the first time))),(p,(Conjunction),(e,(it would not be the first time))),(p,(Conjunction),(e,(it will not be the first time))))",it will not be the last,"['it will not be the last', 'honestly it be not the first time', 'it would not be the first time', 'it will not be the first time']",20220420-174733-batch-0-q-68.jpg,20220420-174733-batch-0-a-68.jpg,Conjunction,3i,honestly it be not the first time and the event V? both happen. it would not be the first time and the event V? both happen. it will not be the first time and the event V? both happen. What is the event V? ?,"<span style=""color:red;"">honestly it be not the first time</span> and <span style=""color:red;"">the event V?</span> both happen. <span style=""color:red;"">it would not be the first time</span> and <span style=""color:red;"">the event V?</span> both happen. <span style=""color:red;"">it will not be the first time</span> and <span style=""color:red;"">the event V?</span> both happen. What is the event V? ?",it will not be the first time happens the same time as it will not be the last. it will not be the first time and it will not be the last both happen. it would not be the first time and it will not be the last both happen. honestly it be not the first time and it will not be the last both happen.,"<span style=""color:red;"">it will not be the first time</span> happens the same time as <span style=""color:red;"">it will not be the last</span>. <span style=""color:red;"">it will not be the first time</span> and <span style=""color:red;"">it will not be the last</span> both happen. <span style=""color:red;"">it would not be the first time</span> and <span style=""color:red;"">it will not be the last</span> both happen. <span style=""color:red;"">honestly it be not the first time</span> and <span style=""color:red;"">it will not be the last</span> both happen."
69,"(i,(p,(Result),(e,(PeopleX decide the best way for PersonX))),(p,(ChosenAlternative),(e,(PersonX be go back to vietnam))),(p,(Result),(e,(the communist be to play ping-pong))))",PersonX be in the special services,"['PersonX be in the special services', 'the communist be to play ping-pong', 'PeopleX decide the best way for PersonX', 'PersonX be go back to vietnam']",20220420-174733-batch-0-q-69.jpg,20220420-174733-batch-0-a-69.jpg,ChosenAlternative,3i,PeopleX decide the best way for PersonX result in the event V?. PersonX be go back to vietnam is a preferred alternative situation to the event V?. the communist be to play ping-pong result in the event V?. What is the event V? ?,"<span style=""color:red;"">PeopleX decide the best way for PersonX</span> result in <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">PersonX be go back to vietnam</span> is a preferred alternative situation to <span style=""color:red;"">the event V?</span>. <span style=""color:red;"">the communist be to play ping-pong</span> result in <span style=""color:red;"">the event V?</span>. What is the event V? ?",the communist be to play ping-pong result in PersonX be in the special services. PersonX be go back to vietnam and PersonX be in the special services share significant difference regarding some property. PersonX be go back to vietnam is a preferred alternative situation to PersonX be in the special services. PersonX be go back to vietnam result in PersonX be in the special services. PersonX be go back to vietnam and PeopleX decide the best way for PersonX share significant difference regarding some property. PersonX be go back to vietnam is a preferred alternative situation to PeopleX decide the best way for PersonX. PersonX be go back to vietnam and the communist be to play ping-pong share significant difference regarding some property. PersonX be go back to vietnam is a preferred alternative situation to the communist be to play ping-pong. PeopleX decide the best way for PersonX result in PersonX be in the special services.,"<span style=""color:red;"">the communist be to play ping-pong</span> result in <span style=""color:red;"">PersonX be in the special services</span>. <span style=""color:red;"">PersonX be go back to vietnam</span> and <span style=""color:red;"">PersonX be in the special services</span> share significant difference regarding some property. <span style=""color:red;"">PersonX be go back to vietnam</span> is a preferred alternative situation to <span style=""color:red;"">PersonX be in the special services</span>. <span style=""color:red;"">PersonX be go back to vietnam</span> result in <span style=""color:red;"">PersonX be in the special services</span>. <span style=""color:red;"">PersonX be go back to vietnam</span> and <span style=""color:red;"">PeopleX decide the best way for PersonX</span> share significant difference regarding some property. <span style=""color:red;"">PersonX be go back to vietnam</span> is a preferred alternative situation to <span style=""color:red;"">PeopleX decide the best way for PersonX</span>. <span style=""color:red;"">PersonX be go back to vietnam</span> and <span style=""color:red;"">the communist be to play ping-pong</span> share significant difference regarding some property. <span style=""color:red;"">PersonX be go back to vietnam</span> is a preferred alternative situation to <span style=""color:red;"">the communist be to play ping-pong</span>. <span style=""color:red;"">PeopleX decide the best way for PersonX</span> result in <span style=""color:red;"">PersonX be in the special services</span>."
70,"(i,(p,(Condition),(e,(PersonX will get PersonY ticket for PersonY))),(p,(Condition),(e,(PersonX come to have a talk with PersonY))),(p,(Condition),(e,(PersonX will do the same to PersonY))))",PersonY will allow PersonX,"['PersonX come to have a talk with PersonY', 'PersonY will allow PersonX', 'PersonX will do the same to PersonY', 'PersonX will get PersonY ticket for PersonY']",20220420-174733-batch-0-q-70.jpg,20220420-174733-batch-0-a-70.jpg,Condition,3i,"When the event V? happens, PersonX will get PersonY ticket for PersonY can happen. When the event V? happens, PersonX come to have a talk with PersonY can happen. When the event V? happens, PersonX will do the same to PersonY can happen. What is the event V? ?","When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonX will get PersonY ticket for PersonY</span> can happen. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonX come to have a talk with PersonY</span> can happen. When <span style=""color:red;"">the event V?</span> happens, <span style=""color:red;"">PersonX will do the same to PersonY</span> can happen. What is the event V? ?","When PersonY will allow PersonX happens, PersonX will do the same to PersonY can happen. When PersonY will allow PersonX happens, PersonX come to have a talk with PersonY can happen. When PersonY will allow PersonX happens, PersonX will get PersonY ticket for PersonY can happen.","When <span style=""color:red;"">PersonY will allow PersonX</span> happens, <span style=""color:red;"">PersonX will do the same to PersonY</span> can happen. When <span style=""color:red;"">PersonY will allow PersonX</span> happens, <span style=""color:red;"">PersonX come to have a talk with PersonY</span> can happen. When <span style=""color:red;"">PersonY will allow PersonX</span> happens, <span style=""color:red;"">PersonX will get PersonY ticket for PersonY</span> can happen."
